BH22,467922,312,316729,53,288280,41,195157,114,378549,520
BH23,493212,471,346679,181,339099,172,231646,270,380184,1094
BH24,545579,230,346650,71,302399,69,210790,62,425995,432
BH25,476382,246,326656,60,253220,94,204568,157,345977,557
BH3,681932,48,345000,1,468000,1,229519,53,443789,103
BH31,410658,159,293290,41,236851,41,195933,15,351443,256
BH4,770667,15,419750,4,504460,11,244494,225,289408,255
BH5,560085,23,292986,13,326437,8,223116,229,257860,273
BH6,494102,188,361091,35,354918,19,222369,201,354332,443
BH7,439771,94,295765,34,248425,10,162555,53,327195,191
BH8,418276,139,278045,81,247448,42,175479,185,276328,447
BH9,348785,229,277561,85,258455,44,174983,101,288692,459
BL0,331647,68,206840,72,167516,160,127825,12,210836,312
BL1,356884,166,180362,270,102263,393,109560,116,170200,945
BL2,268599,134,155290,242,101264,244,113735,17,157322,637
BL3,223106,102,137598,214,86791,290,68037,12,126519,618
BL4,178060,26,121580,197,93479,182,66289,21,110296,426
BL5,266984,122,157786,151,123181,140,89473,22,173819,435
BL6,316053,141,184201,166,122314,203,105141,37,189874,547
BL7,383583,101,197530,66,174253,132,164865,24,243768,323
BL8,322933,151,183605,191,141320,208,124112,21,202859,571
BL9,285130,89,167361,229,120187,289,103859,68,156294,675
BN1,711231,93,464566,179,525028,295,287522,533,415849,1100
BN10,352335,106,294228,103,272509,54,186676,58,290329,321
BN11,531632,38,378456,77,320239,133,210811,459,266898,707
BN12,479059,171,346751,112,290496,51,217447,97,363487,431
BN13,400131,231,314398,220,278929,124,191784,77,323547,652
BN14,488001,140,354559,103,306471,159,177951,101,341037,503
BN15,373992,76,308232,176,279165,99,179265,81,288958,432
BN16,598327,238,339602,160,290879,150,218841,114,400782,662
BN17,391947,129,287891,159,244168,206,163158,163,263667,657
BN18,567409,72,370323,48,354189,79,238218,34,406478,233
BN2,552755,159,398690,178,432971,337,294437,486,386088,1160
BN20,564536,118,330178,74,328657,54,252104,151,369933,397
BN21,442295,66,348315,27,310737,78,184391,386,240590,557
BN22,370011,67,277535,113,234225,222,144470,93,245628,495
BN23,314837,102,275396,113,262765,131,212510,169,259358,515
BN24,364290,135,280332,111,256753,30,159952,25,305639,301
BN25,438978,172,329373,86,285512,50,203055,103,338250,411
BN26,466095,73,277902,119,284924,43,156526,34,314754,269
BN27,405388,197,262704,213,236701,140,159342,46,295781,596
BN3,799440,108,611396,208,519964,191,316984,823,431354,1330
BN41,368955,29,334286,100,329645,116,201349,44,315663,289
BN42,525572,20,387769,72,347808,32,221715,34,361386,158
BN43,582620,73,403733,107,349908,101,238197,103,379182,384
BN44,543880,44,458556,26,313300,58,209886,18,395908,146
BN45,573000,5,0,0,0,0,0,0,573000,5
BN5,606925,86,413154,51,290124,16,231495,11,490578,164
BN6,684632,128,446875,96,400946,46,221542,32,516774,302
BN7,740441,43,436084,76,463946,85,259043,64,451476,268
BN8,669272,94,378786,57,305721,34,308638,13,499541,198
BN9,310445,28,273707,59,244014,81,173675,48,245105,216
BR1,1012207,94,559165,106,395438,267,326426,210,485303,677
BR2,903431,129,546692,187,454709,176,349007,236,523583,728
BR3,975889,57,711364,114,533631,214,348305,334,510782,719
BR4,773332,33,586581,113,496328,32,249976,42,537205,220
BR5,666234,62,445063,274,321199,162,247196,96,402388,594
BR6,753044,201,531723,217,434986,137,340739,148,535944,703
BR7,1061803,77,566238,56,522313,67,438910,94,645309,294
BR8,553651,40,359068,138,314908,107,246770,50,351436,335
BS1,625000,1,862500,2,875714,7,301643,309,318770,319
BS10,364711,28,274934,140,245051,125,194826,66,256803,359
BS11,399375,8,234376,83,225214,104,161052,42,222931,237
BS13,307699,15,254268,118,214911,200,148316,52,221594,385
BS14,368540,69,263858,213,224116,168,132053,45,252979,495
BS15,350372,52,261817,234,233482,327,153808,146,234900,759
BS16,439229,344,310062,468,265593,501,193403,328,300245,1641
BS2,0,0,468950,6,359490,54,214249,252,244285,312
BS20,450855,233,356789,153,324978,115,242640,170,355081,671
BS21,537255,110,322750,130,272517,121,227196,101,339777,462
BS22,286440,205,220563,255,181944,181,129987,63,221711,704
BS23,335794,58,242822,124,186650,120,141680,343,186946,645
BS24,316924,184,223464,203,196696,190,145999,66,234347,643
BS25,470589,80,334583,16,288950,5,213312,13,414195,114
BS26,473266,30,226904,10,312667,6,143250,2,388115,48
BS27,383860,64,266395,33,254325,20,133925,12,310478,129
BS28,535286,30,367112,4,348333,3,345000,1,497816,38
BS29,349550,14,253477,22,191500,4,0,0,280905,40
BS3,405769,23,336783,89,354499,483,218154,348,303761,943
BS30,412741,113,287775,157,246644,168,177778,49,291515,487
BS31,496618,106,341689,140,274703,106,260648,111,342394,463
BS32,392956,124,262692,57,257103,149,179030,50,292000,380
BS34,356875,94,280355,198,236341,216,194572,119,260383,627
BS35,457602,172,301886,176,270218,118,175896,34,339411,500
BS36,480912,80,321097,86,281753,46,193875,4,369553,216
BS37,425076,126,271195,168,223127,195,172095,67,277267,556
BS39,437861,101,278467,72,242652,74,145922,26,315106,273
BS4,394415,22,261991,190,284804,423,206912,164,266409,799
BS40,495773,85,320194,49,403400,25,268200,5,422294,164
BS41,573735,23,440045,37,315874,19,195679,7,428476,86
BS48,528280,160,311900,127,281947,45,173588,22,397296,354
BS49,404364,85,293801,83,242008,24,182100,5,332361,197
BS5,275147,17,268039,98,268691,522,167672,210,243699,847
BS6,635786,7,853458,66,599499,117,312376,355,443695,545
BS7,478846,13,406160,108,407914,289,239215,181,357488,591
BS8,849543,23,1089030,22,667861,71,387877,311,495424,427
BS9,796513,112,528049,183,424966,77,301219,114,520378,486
CA1,209032,88,122127,159,105441,194,80666,24,129472,465
CA10,289864,149,210331,73,180368,42,109888,9,245818,273
CA11,319342,159,206797,136,173171,121,151697,56,229552,472
CA12,489232,41,326580,44,275888,41,219240,31,334623,157
CA13,332610,119,195198,93,168793,76,127400,25,235614,313
CA14,238858,154,135861,149,89612,187,79604,12,148885,502
CA15,207991,62,119825,62,89160,103,95250,4,129390,231
CA16,275381,47,165187,40,147937,16,110067,3,209883,106
CA17,279707,23,193184,19,145610,25,96000,2,201971,69
CA18,282500,2,266250,1,0,0,0,0,277083,3
CA19,309550,6,226000,2,173300,5,0,0,244292,13
CA2,212102,149,131214,286,101374,312,85403,62,131093,809
CA20,211706,26,130781,18,148950,10,87300,5,165837,59
CA21,228567,9,172500,1,102333,3,0,0,195123,13
CA22,196074,33,119450,40,95084,41,70167,3,131260,117
CA23,295250,4,188000,3,78489,9,0,0,153212,16
CA24,170850,6,70000,1,94342,13,0,0,116077,20
